VC,Tier,Proximity,Fit,Location,Contact,Thesis Fit,Network,Lead Capability,Location Score,Gravitas Score,Status,Intro Path,Evidence,Score Confidence
Marathon Fund,Referral / deprioritize,Warm,42,California,Sandy Naidu - Managing General Partner,12,12,7,9,2,"REVIEW-scored, bio-based (low conf): Pre-seed/seed scale (Hustle Fund-linked)",Zamir (listed),,
Fuel Ventures,Referral / deprioritize,Warm,41,"London, UK",Jingjing Xu - Partner,14,12,10,2,3,"REVIEW-scored, bio-based (med conf): London early-stage tech; China ties",Daniel (listed),,
Untethered Ventures,Referral / deprioritize,Warm,41,US (unspecified),Kristina Serafim - Investor,16,10,8,5,2,"REVIEW-scored, bio-based (low conf): AI/ML/data-science angle; angel-flavoured (HBS Alumni Angels)",Daniel (listed),,
Insta Ventures,Referral / deprioritize,Warm,41,US (unspecified),Vitaliy Yanko - Venture Partner,12,14,8,5,2,"REVIEW-scored, bio-based (low conf): GTM/international-expansion model; emerging",Zamir (medium),,
Stellar Ventures,Referral / deprioritize,Warm,41,Cross-border (NA/Saudi/APAC),"Jamal K, ACA - Managing Partner",12,12,11,4,2,"REVIEW-scored, bio-based (low conf): Post-seed/A cross-border; Saudi/APAC ties",Zamir (listed),,
EdenBase,Referral / deprioritize,Warm,40,"London, UK",Gokce Gizer Clover - Co-Founder,14,12,9,2,3,"REVIEW-scored, bio-based (low conf): London frontier-tech fund+ecosystem; accelerator-flavoured",Anna (medium),,
Cross Ocean Ventures,Referral / deprioritize,Warm,39,US (unspecified),Zeynep Ilgaz - General Partner,12,10,8,7,2,"REVIEW-scored, bio-based (low conf): Emerging; operator/angel",Zamir (listed),,
Deep Venture Partners,Referral / deprioritize,Warm,38,US (unspecified),Daniel Hoffer - Managing Partner,12,10,9,5,2,"REVIEW-scored, bio-based (low conf): New (2025) early-stage",Daniel (listed),,
Prospective Technologies Venture Capital,Referral / deprioritize,Warm,38,CIS / unspecified,Sergey Negodyaev - Managing Partner,14,10,9,3,2,"REVIEW-scored, bio-based (low conf): Dev-tools/open-source angle (DBeaver); emerging",Zamir (listed),,
Anexa Capital,Referral / deprioritize,Warm,38,"Toronto, Canada",Dejana Dua - Managing Partner,12,12,9,3,2,"REVIEW-scored, bio-based (low conf): Hardtech/deep-tech (ventureLAB); Canada",Zamir (listed),,
Progressive Ventures,Referral / deprioritize,Warm,37,US (unspecified),Mala Ramakrishnan - Founder and Managing Partner,10,12,8,5,2,"REVIEW-scored, bio-based (low conf): New (2024); founder-community model",Zamir (listed),,
VABA Venture Capital,Referral / deprioritize,Warm,37,US (unspecified),"Wendy Nguyen, MBA - Sr Manager, Investor Relations & Marketing",10,12,8,5,2,"REVIEW-scored, bio-based (low conf): Contact is IR/Marketing (peripheral); find a GP",Zamir (listed),,
shuckerVC,Referral / deprioritize,Warm,37,US (unspecified),Jean-Philippe ‘JP’ Persico - Co-Founder and Managing Partner,12,10,8,5,2,"REVIEW-scored, bio-based (low conf): Emerging seed; Techstars/FI mentor",Zamir (listed),,
Innovate Partners,Referral / deprioritize,Warm,37,US (US-Russia ties),Richard Conn - Managing Partner,10,10,10,5,2,"REVIEW-scored, bio-based (low conf): PE/VC early-stage; US-Russia ties (check LP/geo)",Zamir (listed),,
Network VC,Referral / deprioritize,Warm,37,Global,Jordan Wahbeh - Partner - Global,10,12,8,5,2,"REVIEW-scored, bio-based (low conf): Network/syndicate-style; global; small","Zamir (listed)  [also at firm: Mohamed Amine Khiari, Julia Prysiazhniuk]",,
Twenty,Referral / deprioritize,Warm,36,US (unspecified),Konstantin Vinogradov - Investor,12,10,7,5,2,"REVIEW-scored, bio-based (med conf): Contact now at startup (Twenty); former Runa GP; operator/angel not active fund",Zamir (listed),,
Curiosity VC,Referral / deprioritize,Warm,35,Netherlands / CEE,Bas Godska - Limited Partner,12,10,9,2,2,"REVIEW-scored, bio-based (low conf): Contact is an LP (not check decision-maker); NL/CEE early-stage; find a GP",Zamir (medium),,
BlankPage Capital,Referral / deprioritize,Warm,35,Europe,Ekaterina Almasque - Managing Partner,12,10,9,2,2,"REVIEW-scored, bio-based (low conf): New (2025) European deep-tech",Zamir (listed),,
Sadara Ventures,Referral / deprioritize,Warm,35,MENA (Palestine/Saudi),Saed Nashef (سائد ناشف) - Founding Partner,12,10,9,1,3,"REVIEW-scored, bio-based (med conf): MENA tech; geo considerations",Zamir (listed),,
Co Ventures,Referral / deprioritize,Warm,35,Australia?,Maxine Minter - General Partner,12,12,7,2,2,"REVIEW-scored, bio-based (low conf): Pre-seed/seed (First Cheque); likely AU; not an A lead",Zamir (listed),,
Triple S Ventures,Referral / deprioritize,Warm,34,Armenia,Avag Simonyan - Managing Partner,12,10,8,2,2,"REVIEW-scored, bio-based (low conf): Armenia-linked early-stage",Zamir (listed),,
RB Partners,Referral / deprioritize,Warm,34,CIS / emerging mkts,Arseniy Dabbakh - Partner,10,12,8,2,2,"REVIEW-scored, bio-based (low conf): Corp-innovation/scouting (InnoTechnics); emerging markets",Zamir (medium),,
e2vc,Referral / deprioritize,Warm,34,Emerging Europe,Tunya Irkad - Principal,12,10,8,2,2,"REVIEW-scored, bio-based (low conf): CEE early-stage (500-linked)",Zamir (listed),,
True Global Ventures,Referral / deprioritize,Warm,34,Global,Sergey Dashkov - General Partner,6,12,10,3,3,"REVIEW-scored, bio-based (med conf): DEPRIORITIZE: web3/blockchain focus = thesis mismatch",Zamir (listed),,
A.Partners,Referral / deprioritize,Warm,34,Global / CIS,Alexey Solovyov - Founder&CEO,10,12,8,2,2,"REVIEW-scored, bio-based (low conf): Russian-speaking angel club (Angelsdeck); angel-scale; LP/geo check",Zamir (listed),,
RSV Capital,Referral / deprioritize,Warm,33,US / unspecified,Yury Mitin - Managing Partner,8,12,8,3,2,"REVIEW-scored, bio-based (low conf): Crypto/TON-adjacent (AlphaTON); incubator model",Zamir (listed),,
Arkstons VC,Referral / deprioritize,Warm,33,Europe/GCC,Binesh Balan - General Partner,10,10,9,2,2,"REVIEW-scored, bio-based (low conf): New (2024) multi-stage EU/Asia/GCC",Zamir (listed),,
Aim Ventures,Referral / deprioritize,Warm,32,SE Asia,Amarit C. - Managing Partner,10,10,8,2,2,"REVIEW-scored, bio-based (low conf): SEA ecosystem; emerging/angel",Zamir (listed),,
Maratika Ventures,Referral / deprioritize,Warm,31,CIS / unspecified,Boris Ryabov - Investment Advisor,10,10,7,3,1,"REVIEW-scored, bio-based (low conf): Advisor role (peripheral); emerging",Zamir (medium),,
Vis Caeli,Referral / deprioritize,Warm,30,US / unspecified,Violetta Chekan - VC - Founder & Managing Partner,8,10,7,3,2,"REVIEW-scored, bio-based (low conf): Web3-leaning private-investor community/syndicate",Zamir (listed),,
"Eastland Capital, JSC",Referral / deprioritize,Warm,30,CIS / Central Asia,Pavel Bilenko - CEO,8,10,8,2,2,"REVIEW-scored, bio-based (low conf): CIS corporate-finance/M&A shop",Zamir (medium),,
NOVA Health Capital,Referral / deprioritize,Warm,30,US (unspecified),Andreea Marinescu - Managing Partner,4,10,9,5,2,"REVIEW-scored, bio-based (med conf): DEPRIORITIZE: health-tech focus = thesis mismatch",Zamir (listed),,
Phystech Ventures,Referral / deprioritize,Warm,28,CIS / Europe,Daniel Shaposhnikov - Partner,5,10,9,2,2,"REVIEW-scored, bio-based (med conf): DEPRIORITIZE: energy/hardware deep-tech (CIS) = thesis mismatch",Daniel (listed),,
Seedford Partners,Referral / deprioritize,Warm,27,Europe,"Anastasiia Natrova, MD - Advisor (biotech, deep tech)",5,10,8,2,2,"REVIEW-scored, bio-based (med conf): DEPRIORITIZE: biotech/deep-tech = thesis mismatch; contact is advisor",Zamir (listed),,
(no company in export),TBD,Warm,,,Alexander Zhurba - nan,,,,,,REVIEW: no company in Happenstance export,"Zamir (medium)  [also at firm: Alexei Tuknov, Mitchell Weinstock, Scott Beechuk, Eddie Ler, Anita Rehman]",,
DotPitch,Gate,Warm,,,Mudiet Jajoo - Founder,,,,,,GATE: not a fund (fundraising-doc/research service),Zamir (listed),,
Oppenheimer Acceleration,Gate,Warm,,,Alexander Soroka - Managing Partner,,,,,,GATE: accelerator program,Zamir (listed),,
500 Global,Gate,Warm,,,Pedro Santos Vieira - Managing Partner,,,,,,GATE: seed/accelerator (too early to lead A),Zamir (listed),,
Siguler Guff & Company,Gate,Warm,,,Alexander Lupachev - Director,,,,,,GATE: PE / fund-of-funds,Zamir (listed),,
Aegis Capital Corp.,Gate,Warm,,,Jordan Hurwitz - Vice President,,,,,,"GATE: broker-dealer / IB, not VC",Zamir (listed),,
SmartExpert — Talent Management Platform,Gate,Hot,,,Daniel Kozlov - Investor/Advisor,,,,,,GATE: not a fund (talent platform),Zamir (very strong),,
LGT Capital Partners,Gate,Warm,,,"Anna Jacoby - Associate, Venture and Growth",,,,,,GATE: private-markets / FoF,Zamir (listed),,
Ares Management Corporation,Gate,Warm,,,"Nicolai Wadstrom - Partner, Co-Head of Venture Capital and AI & Innovation Groups",,,,,,"GATE: alt-asset mgr (credit/PE), not a Series A lead",Zamir (listed)  [also at firm: Benjamin Levy],,
Plug and Play Tech Center,Gate,Warm,,,Ahmadreza Masrour - Investment Advisor,,,,,,GATE: accelerator,Zamir (medium)  [also at firm: Mike Zayonc],,
VNTR,Gate,Warm,,,Yuri G. Rabinovich - Founder and Managing Partner,,,,,,GATE: not a fund (community),Zamir (listed),,
VC Score,Gate,Warm,,,Alexander Lok - SAFE Agreement Investor,,,,,,GATE: not a fund (service),Zamir (medium),,
VC CFO,Gate,Warm,,,Ken Aseme - Founding Partner,,,,,,GATE: not a fund (CFO service),Zamir (listed),,
Internet Initiatives Development Fund (IIDF),Gate,Warm,,,Galina Dremova - Independent PR Consultant,,,,,,FLAG: Russian state-linked fund (LP/sanctions risk); not a US A lead,Zamir (medium),,
Starta VC,Gate,Warm,,,Alexey Girin - General Partner,,,,,,GATE: accelerator+fund (small/early),Zamir (medium),,
Capital Factory,Gate,Warm,,,Nick Spiller - Managing Director,,,,,,GATE: accelerator,Zamir (listed),,
Strawberry Creek Ventures (an Alumni Ventures Fund),Gate,Warm,,,Matt Caspari - Managing Partner,,,,,,GATE: syndicate/SPV (Alumni Ventures),Zamir (listed),,
GSD Venture Studios,Gate,Warm,,,Ron Lewin - Partner,,,,,,GATE: studio,Zamir (medium),,
VC Yellow Green,Gate,Warm,,,Alex Malik - General Partner,,,,,,GATE: not a fund (service/community),Zamir (listed),,
Pioneer Fund,Gate,Warm,,,Jonathan Tang - Investment Partner/LPAC Member,,,,,,GATE: YC-alumni micro-fund (small cheques),Zamir (listed),,
